mpg,car name,cylinders,displacement,horsepower,weight,acceleration,model year,origin
18.0,chevrolet chevelle malibu,8,307.0,130,3504,12.0,70,1
15.0,buick skylark 320,8,350.0,165,3693,11.5,70,1
18.0,plymouth satellite,8,318.0,150,3436,11.0,70,1
16.0,amc rebel sst,8,304.0,150,3433,12.0,70,1
17.0,ford torino,8,302.0,140,3449,10.5,70,1
15.0,ford galaxie 500,8,429.0,198,4341,10.0,70,1
14.0,chevrolet impala,8,454.0,220,4354,9.0,70,1
14.0,plymouth fury iii,8,440.0,215,4312,8.5,70,1
14.0,pontiac catalina,8,455.0,225,4425,10.0,70,1
15.0,amc ambassador dpl,8,390.0,190,3850,8.5,70,1
15.0,dodge challenger se,8,383.0,170,3563,10.0,70,1
14.0,plymouth 'cuda 340,8,340.0,160,3609,8.0,70,1
15.0,chevrolet monte carlo,8,400.0,150,3761,9.5,70,1
14.0,buick estate wagon (sw),8,455.0,225,3086,10.0,70,1
24.0,toyota corona mark ii,4,113.0,95,2372,15.0,70,3
22.0,plymouth duster,6,198.0,95,2833,15.5,70,1
18.0,amc hornet,6,199.0,97,2774,15.5,70,1
21.0,ford maverick,6,200.0,85,2587,16.0,70,1
27.0,datsun pl510,4,97.0,88,2130,14.5,70,3
26.0,volkswagen 1131 deluxe sedan,4,97.0,46,1835,20.5,70,2
25.0,peugeot 504,4,110.0,87,2672,17.5,70,2
24.0,audi 100 ls,4,107.0,90,2430,14.5,70,2
25.0,saab 99e,4,104.0,95,2375,17.5,70,2
26.0,bmw 2002,4,121.0,113,2234,12.5,70,2
21.0,amc gremlin,6,199.0,90,2648,15.0,70,1
10.0,ford f250,8,360.0,215,4615,14.0,70,1
10.0,chevy c20,8,307.0,200,4376,15.0,70,1
11.0,dodge d200,8,318.0,210,4382,13.5,70,1
9.0,hi 1200d,8,304.0,193,4732,18.5,70,1
27.0,datsun pl510,4,97.0,88,2130,14.5,71,3
28.0,chevrolet vega 2300,4,140.0,90,2264,15.5,71,1
25.0,toyota corona,4,113.0,95,2228,14.0,71,3
25.0,ford pinto,4,98.0,,2046,19.0,71,1
19.0,amc gremlin,6,232.0,100,2634,13.0,71,1
16.0,plymouth satellite custom,6,225.0,105,3439,15.5,71,1
17.0,chevrolet chevelle malibu,6,250.0,100,3329,15.5,71,1
19.0,ford torino 500,6,250.0,88,3302,15.5,71,1
18.0,amc matador,6,232.0,100,3288,15.5,71,1
14.0,chevrolet impala,8,350.0,165,4209,12.0,71,1
14.0,pontiac catalina brougham,8,400.0,175,4464,11.5,71,1
14.0,ford galaxie 500,8,351.0,153,4154,13.5,71,1
14.0,plymouth fury iii,8,318.0,150,4096,13.0,71,1
12.0,dodge monaco (sw),8,383.0,180,4955,11.5,71,1
13.0,ford country squire (sw),8,400.0,170,4746,12.0,71,1
13.0,pontiac safari (sw),8,400.0,175,5140,12.0,71,1
18.0,amc hornet sportabout (sw),6,258.0,110,2962,13.5,71,1
22.0,chevrolet vega (sw),4,140.0,72,2408,19.0,71,1
19.0,pontiac firebird,6,250.0,100,3282,15.0,71,1
18.0,ford mustang,6,250.0,88,3139,14.5,71,1
23.0,mercury capri 2000,4,122.0,86,2220,14.0,71,1
28.0,opel 1900,4,116.0,90,2123,14.0,71,2
30.0,peugeot 304,4,79.0,70,2074,19.5,71,2
30.0,fiat 124b,4,88.0,76,2065,14.5,71,2
31.0,toyota corolla 1200,4,71.0,65,1773,19.0,71,3
35.0,datsun 1200,4,72.0,69,1613,18.0,71,3
27.0,volkswagen model 111,4,97.0,60,1834,19.0,71,2
26.0,plymouth cricket,4,91.0,70,1955,20.5,71,1
24.0,toyota corona hardtop,4,113.0,95,2278,15.5,72,3
25.0,dodge colt hardtop,4,97.5,80,2126,17.0,72,1
23.0,volkswagen type 3,4,97.0,54,2254,23.5,72,2
20.0,chevrolet vega,4,140.0,90,2408,19.5,72,1
21.0,ford pinto runabout,4,122.0,86,2226,16.5,72,1
13.0,chevrolet impala,8,350.0,165,4274,12.0,72,1
14.0,pontiac catalina,8,400.0,175,4385,12.0,72,1
15.0,plymouth fury iii,8,318.0,150,4135,13.5,72,1
14.0,ford galaxie 500,8,351.0,153,4129,13.0,72,1
17.0,amc ambassador sst,8,304.0,150,3672,11.5,72,1
11.0,mercury marquis,8,429.0,208,4633,11.0,72,1
13.0,buick lesabre custom,8,350.0,155,4502,13.5,72,1
12.0,oldsmobile delta 88 royale,8,350.0,160,4456,13.5,72,1
13.0,chrysler newport royal,8,400.0,190,4422,12.5,72,1
19.0,mazda rx2 coupe,3,70.0,97,2330,13.5,72,3
15.0,amc matador (sw),8,304.0,150,3892,12.5,72,1
13.0,chevrolet chevelle concours (sw),8,307.0,130,4098,14.0,72,1
13.0,ford gran torino (sw),8,302.0,140,4294,16.0,72,1
14.0,plymouth satellite custom (sw),8,318.0,150,4077,14.0,72,1
18.0,volvo 145e (sw),4,121.0,112,2933,14.5,72,2
22.0,volkswagen 411 (sw),4,121.0,76,2511,18.0,72,2
21.0,peugeot 504 (sw),4,120.0,87,2979,19.5,72,2
26.0,renault 12 (sw),4,96.0,69,2189,18.0,72,2
22.0,ford pinto (sw),4,122.0,86,2395,16.0,72,1
28.0,datsun 510 (sw),4,97.0,92,2288,17.0,72,3
23.0,toyouta corona mark ii (sw),4,120.0,97,2506,14.5,72,3
28.0,dodge colt (sw),4,98.0,80,2164,15.0,72,1
27.0,toyota corolla 1600 (sw),4,97.0,88,2100,16.5,72,3
13.0,buick century 350,8,350.0,175,4100,13.0,73,1
14.0,amc matador,8,304.0,150,3672,11.5,73,1
13.0,chevrolet malibu,8,350.0,145,3988,13.0,73,1
14.0,ford gran torino,8,302.0,137,4042,14.5,73,1
15.0,dodge coronet custom,8,318.0,150,3777,12.5,73,1
12.0,mercury marquis brougham,8,429.0,198,4952,11.5,73,1
13.0,chevrolet caprice classic,8,400.0,150,4464,12.0,73,1
13.0,ford ltd,8,351.0,158,4363,13.0,73,1
14.0,plymouth fury gran sedan,8,318.0,150,4237,14.5,73,1
13.0,chrysler new yorker brougham,8,440.0,215,4735,11.0,73,1
12.0,buick electra 225 custom,8,455.0,225,4951,11.0,73,1
13.0,amc ambassador brougham,8,360.0,175,3821,11.0,73,1
18.0,plymouth valiant,6,225.0,105,3121,16.5,73,1
16.0,chevrolet nova custom,6,250.0,100,3278,18.0,73,1
18.0,amc hornet,6,232.0,100,2945,16.0,73,1
18.0,ford maverick,6,250.0,88,3021,16.5,73,1
23.0,plymouth duster,6,198.0,95,2904,16.0,73,1
26.0,volkswagen super beetle,4,97.0,46,1950,21.0,73,2
11.0,chevrolet impala,8,400.0,150,4997,14.0,73,1
12.0,ford country,8,400.0,167,4906,12.5,73,1
13.0,plymouth custom suburb,8,360.0,170,4654,13.0,73,1
12.0,oldsmobile vista cruiser,8,350.0,180,4499,12.5,73,1
18.0,amc gremlin,6,232.0,100,2789,15.0,73,1
20.0,toyota carina,4,97.0,88,2279,19.0,73,3
21.0,chevrolet vega,4,140.0,72,2401,19.5,73,1
22.0,datsun 610,4,108.0,94,2379,16.5,73,3
18.0,maxda rx3,3,70.0,90,2124,13.5,73,3
19.0,ford pinto,4,122.0,85,2310,18.5,73,1
21.0,mercury capri v6,6,155.0,107,2472,14.0,73,1
26.0,fiat 124 sport coupe,4,98.0,90,2265,15.5,73,2
15.0,chevrolet monte carlo s,8,350.0,145,4082,13.0,73,1
16.0,pontiac grand prix,8,400.0,230,4278,9.5,73,1
29.0,fiat 128,4,68.0,49,1867,19.5,73,2
24.0,opel manta,4,116.0,75,2158,15.5,73,2
20.0,audi 100ls,4,114.0,91,2582,14.0,73,2
19.0,volvo 144ea,4,121.0,112,2868,15.5,73,2
15.0,dodge dart custom,8,318.0,150,3399,11.0,73,1
24.0,saab 99le,4,121.0,110,2660,14.0,73,2
20.0,toyota mark ii,6,156.0,122,2807,13.5,73,3
11.0,oldsmobile omega,8,350.0,180,3664,11.0,73,1
20.0,plymouth duster,6,198.0,95,3102,16.5,74,1
21.0,ford maverick,6,200.0,,2875,17.0,74,1
19.0,amc hornet,6,232.0,100,2901,16.0,74,1
15.0,chevrolet nova,6,250.0,100,3336,17.0,74,1
31.0,datsun b210,4,79.0,67,1950,19.0,74,3
26.0,ford pinto,4,122.0,80,2451,16.5,74,1
32.0,toyota corolla 1200,4,71.0,65,1836,21.0,74,3
25.0,chevrolet vega,4,140.0,75,2542,17.0,74,1
16.0,chevrolet chevelle malibu classic,6,250.0,100,3781,17.0,74,1
16.0,amc matador,6,258.0,110,3632,18.0,74,1
18.0,plymouth satellite sebring,6,225.0,105,3613,16.5,74,1
16.0,ford gran torino,8,302.0,140,4141,14.0,74,1
13.0,buick century luxus (sw),8,350.0,150,4699,14.5,74,1
14.0,dodge coronet custom (sw),8,318.0,150,4457,13.5,74,1
14.0,ford gran torino (sw),8,302.0,140,4638,16.0,74,1
14.0,amc matador (sw),8,304.0,150,4257,15.5,74,1
29.0,audi fox,4,98.0,83,2219,16.5,74,2
26.0,volkswagen dasher,4,79.0,67,1963,15.5,74,2
26.0,opel manta,4,97.0,78,2300,14.5,74,2
31.0,toyota corona,4,76.0,52,1649,16.5,74,3
32.0,datsun 710,4,83.0,61,2003,19.0,74,3
28.0,dodge colt,4,90.0,75,2125,14.5,74,1
24.0,fiat 128,4,90.0,75,2108,15.5,74,2
26.0,fiat 124 tc,4,116.0,75,2246,14.0,74,2
24.0,honda civic,4,120.0,97,2489,15.0,74,3
26.0,subaru,4,108.0,93,2391,15.5,74,3
31.0,fiat x1.9,4,79.0,67,2000,16.0,74,2
19.0,plymouth valiant custom,6,225.0,95,3264,16.0,75,1
18.0,chevrolet nova,6,250.0,105,3459,16.0,75,1
15.0,mercury monarch,6,250.0,72,3432,21.0,75,1
15.0,ford maverick,6,250.0,72,3158,19.5,75,1
16.0,pontiac catalina,8,400.0,170,4668,11.5,75,1
15.0,chevrolet bel air,8,350.0,145,4440,14.0,75,1
16.0,plymouth grand fury,8,318.0,150,4498,14.5,75,1
14.0,ford ltd,8,351.0,148,4657,13.5,75,1
17.0,buick century,6,231.0,110,3907,21.0,75,1
16.0,chevroelt chevelle malibu,6,250.0,105,3897,18.5,75,1
15.0,amc matador,6,258.0,110,3730,19.0,75,1
18.0,plymouth fury,6,225.0,95,3785,19.0,75,1
21.0,buick skyhawk,6,231.0,110,3039,15.0,75,1
20.0,chevrolet monza 2+2,8,262.0,110,3221,13.5,75,1
13.0,ford mustang ii,8,302.0,129,3169,12.0,75,1
29.0,toyota corolla,4,97.0,75,2171,16.0,75,3
23.0,ford pinto,4,140.0,83,2639,17.0,75,1
20.0,amc gremlin,6,232.0,100,2914,16.0,75,1
23.0,pontiac astro,4,140.0,78,2592,18.5,75,1
24.0,toyota corona,4,134.0,96,2702,13.5,75,3
25.0,volkswagen dasher,4,90.0,71,2223,16.5,75,2
24.0,datsun 710,4,119.0,97,2545,17.0,75,3
18.0,ford pinto,6,171.0,97,2984,14.5,75,1
29.0,volkswagen rabbit,4,90.0,70,1937,14.0,75,2
19.0,amc pacer,6,232.0,90,3211,17.0,75,1
23.0,audi 100ls,4,115.0,95,2694,15.0,75,2
23.0,peugeot 504,4,120.0,88,2957,17.0,75,2
22.0,volvo 244dl,4,121.0,98,2945,14.5,75,2
25.0,saab 99le,4,121.0,115,2671,13.5,75,2
33.0,honda civic cvcc,4,91.0,53,1795,17.5,75,3
28.0,fiat 131,4,107.0,86,2464,15.5,76,2
25.0,opel 1900,4,116.0,81,2220,16.9,76,2
25.0,capri ii,4,140.0,92,2572,14.9,76,1
26.0,dodge colt,4,98.0,79,2255,17.7,76,1
27.0,renault 12tl,4,101.0,83,2202,15.3,76,2
17.5,chevrolet chevelle malibu classic,8,305.0,140,4215,13.0,76,1
16.0,dodge coronet brougham,8,318.0,150,4190,13.0,76,1
15.5,amc matador,8,304.0,120,3962,13.9,76,1
14.5,ford gran torino,8,351.0,152,4215,12.8,76,1
22.0,plymouth valiant,6,225.0,100,3233,15.4,76,1
22.0,chevrolet nova,6,250.0,105,3353,14.5,76,1
24.0,ford maverick,6,200.0,81,3012,17.6,76,1
22.5,amc hornet,6,232.0,90,3085,17.6,76,1
29.0,chevrolet chevette,4,85.0,52,2035,22.2,76,1
24.5,chevrolet woody,4,98.0,60,2164,22.1,76,1
29.0,vw rabbit,4,90.0,70,1937,14.2,76,2
33.0,honda civic,4,91.0,53,1795,17.4,76,3
20.0,dodge aspen se,6,225.0,100,3651,17.7,76,1
18.0,ford granada ghia,6,250.0,78,3574,21.0,76,1
18.5,pontiac ventura sj,6,250.0,110,3645,16.2,76,1
17.5,amc pacer d/l,6,258.0,95,3193,17.8,76,1
29.5,volkswagen rabbit,4,97.0,71,1825,12.2,76,2
32.0,datsun b-210,4,85.0,70,1990,17.0,76,3
28.0,toyota corolla,4,97.0,75,2155,16.4,76,3
26.5,ford pinto,4,140.0,72,2565,13.6,76,1
20.0,volvo 245,4,130.0,102,3150,15.7,76,2
13.0,plymouth volare premier v8,8,318.0,150,3940,13.2,76,1
19.0,peugeot 504,4,120.0,88,3270,21.9,76,2
19.0,toyota mark ii,6,156.0,108,2930,15.5,76,3
16.5,mercedes-benz 280s,6,168.0,120,3820,16.7,76,2
16.5,cadillac seville,8,350.0,180,4380,12.1,76,1
13.0,chevy c10,8,350.0,145,4055,12.0,76,1
13.0,ford f108,8,302.0,130,3870,15.0,76,1
13.0,dodge d100,8,318.0,150,3755,14.0,76,1
31.5,honda accord cvcc,4,98.0,68,2045,18.5,77,3
30.0,buick opel isuzu deluxe,4,111.0,80,2155,14.8,77,1
36.0,renault 5 gtl,4,79.0,58,1825,18.6,77,2
25.5,plymouth arrow gs,4,122.0,96,2300,15.5,77,1
33.5,datsun f-10 hatchback,4,85.0,70,1945,16.8,77,3
17.5,chevrolet caprice classic,8,305.0,145,3880,12.5,77,1
17.0,oldsmobile cutlass supreme,8,260.0,110,4060,19.0,77,1
15.5,dodge monaco brougham,8,318.0,145,4140,13.7,77,1
15.0,mercury cougar brougham,8,302.0,130,4295,14.9,77,1
17.5,chevrolet concours,6,250.0,110,3520,16.4,77,1
20.5,buick skylark,6,231.0,105,3425,16.9,77,1
19.0,plymouth volare custom,6,225.0,100,3630,17.7,77,1
18.5,ford granada,6,250.0,98,3525,19.0,77,1
16.0,pontiac grand prix lj,8,400.0,180,4220,11.1,77,1
15.5,chevrolet monte carlo landau,8,350.0,170,4165,11.4,77,1
15.5,chrysler cordoba,8,400.0,190,4325,12.2,77,1
16.0,ford thunderbird,8,351.0,149,4335,14.5,77,1
29.0,volkswagen rabbit custom,4,97.0,78,1940,14.5,77,2
24.5,pontiac sunbird coupe,4,151.0,88,2740,16.0,77,1
26.0,toyota corolla liftback,4,97.0,75,2265,18.2,77,3
25.5,ford mustang ii 2+2,4,140.0,89,2755,15.8,77,1
30.5,chevrolet chevette,4,98.0,63,2051,17.0,77,1
33.5,dodge colt m/m,4,98.0,83,2075,15.9,77,1
30.0,subaru dl,4,97.0,67,1985,16.4,77,3
30.5,volkswagen dasher,4,97.0,78,2190,14.1,77,2
22.0,datsun 810,6,146.0,97,2815,14.5,77,3
21.5,bmw 320i,4,121.0,110,2600,12.8,77,2
21.5,mazda rx-4,3,80.0,110,2720,13.5,77,3
43.1,volkswagen rabbit custom diesel,4,90.0,48,1985,21.5,78,2
36.1,ford fiesta,4,98.0,66,1800,14.4,78,1
32.8,mazda glc deluxe,4,78.0,52,1985,19.4,78,3
39.4,datsun b210 gx,4,85.0,70,2070,18.6,78,3
36.1,honda civic cvcc,4,91.0,60,1800,16.4,78,3
19.9,oldsmobile cutlass salon brougham,8,260.0,110,3365,15.5,78,1
19.4,dodge diplomat,8,318.0,140,3735,13.2,78,1
20.2,mercury monarch ghia,8,302.0,139,3570,12.8,78,1
19.2,pontiac phoenix lj,6,231.0,105,3535,19.2,78,1
20.5,chevrolet malibu,6,200.0,95,3155,18.2,78,1
20.2,ford fairmont (auto),6,200.0,85,2965,15.8,78,1
25.1,ford fairmont (man),4,140.0,88,2720,15.4,78,1
20.5,plymouth volare,6,225.0,100,3430,17.2,78,1
19.4,amc concord,6,232.0,90,3210,17.2,78,1
20.6,buick century special,6,231.0,105,3380,15.8,78,1
20.8,mercury zephyr,6,200.0,85,3070,16.7,78,1
18.6,dodge aspen,6,225.0,110,3620,18.7,78,1
18.1,amc concord d/l,6,258.0,120,3410,15.1,78,1
19.2,chevrolet monte carlo landau,8,305.0,145,3425,13.2,78,1
17.7,buick regal sport coupe (turbo),6,231.0,165,3445,13.4,78,1
18.1,ford futura,8,302.0,139,3205,11.2,78,1
17.5,dodge magnum xe,8,318.0,140,4080,13.7,78,1
30.0,chevrolet chevette,4,98.0,68,2155,16.5,78,1
27.5,toyota corona,4,134.0,95,2560,14.2,78,3
27.2,datsun 510,4,119.0,97,2300,14.7,78,3
30.9,dodge omni,4,105.0,75,2230,14.5,78,1
21.1,toyota celica gt liftback,4,134.0,95,2515,14.8,78,3
23.2,plymouth sapporo,4,156.0,105,2745,16.7,78,1
23.8,oldsmobile starfire sx,4,151.0,85,2855,17.6,78,1
23.9,datsun 200-sx,4,119.0,97,2405,14.9,78,3
20.3,audi 5000,5,131.0,103,2830,15.9,78,2
17.0,volvo 264gl,6,163.0,125,3140,13.6,78,2
21.6,saab 99gle,4,121.0,115,2795,15.7,78,2
16.2,peugeot 604sl,6,163.0,133,3410,15.8,78,2
31.5,volkswagen scirocco,4,89.0,71,1990,14.9,78,2
29.5,honda accord lx,4,98.0,68,2135,16.6,78,3
21.5,pontiac lemans v6,6,231.0,115,3245,15.4,79,1
19.8,mercury zephyr 6,6,200.0,85,2990,18.2,79,1
22.3,ford fairmont 4,4,140.0,88,2890,17.3,79,1
20.2,amc concord dl 6,6,232.0,90,3265,18.2,79,1
20.6,dodge aspen 6,6,225.0,110,3360,16.6,79,1
17.0,chevrolet caprice classic,8,305.0,130,3840,15.4,79,1
17.6,ford ltd landau,8,302.0,129,3725,13.4,79,1
16.5,mercury grand marquis,8,351.0,138,3955,13.2,79,1
18.2,dodge st. regis,8,318.0,135,3830,15.2,79,1
16.9,buick estate wagon (sw),8,350.0,155,4360,14.9,79,1
15.5,ford country squire (sw),8,351.0,142,4054,14.3,79,1
19.2,chevrolet malibu classic (sw),8,267.0,125,3605,15.0,79,1
18.5,chrysler lebaron town @ country (sw),8,360.0,150,3940,13.0,79,1
31.9,vw rabbit custom,4,89.0,71,1925,14.0,79,2
34.1,maxda glc deluxe,4,86.0,65,1975,15.2,79,3
35.7,dodge colt hatchback custom,4,98.0,80,1915,14.4,79,1
27.4,amc spirit dl,4,121.0,80,2670,15.0,79,1
25.4,mercedes benz 300d,5,183.0,77,3530,20.1,79,2
23.0,cadillac eldorado,8,350.0,125,3900,17.4,79,1
27.2,peugeot 504,4,141.0,71,3190,24.8,79,2
23.9,oldsmobile cutlass salon brougham,8,260.0,90,3420,22.2,79,1
34.2,plymouth horizon,4,105.0,70,2200,13.2,79,1
34.5,plymouth horizon tc3,4,105.0,70,2150,14.9,79,1
31.8,datsun 210,4,85.0,65,2020,19.2,79,3
37.3,fiat strada custom,4,91.0,69,2130,14.7,79,2
28.4,buick skylark limited,4,151.0,90,2670,16.0,79,1
28.8,chevrolet citation,6,173.0,115,2595,11.3,79,1
26.8,oldsmobile omega brougham,6,173.0,115,2700,12.9,79,1
33.5,pontiac phoenix,4,151.0,90,2556,13.2,79,1
41.5,vw rabbit,4,98.0,76,2144,14.7,80,2
38.1,toyota corolla tercel,4,89.0,60,1968,18.8,80,3
32.1,chevrolet chevette,4,98.0,70,2120,15.5,80,1
37.2,datsun 310,4,86.0,65,2019,16.4,80,3
28.0,chevrolet citation,4,151.0,90,2678,16.5,80,1
26.4,ford fairmont,4,140.0,88,2870,18.1,80,1
24.3,amc concord,4,151.0,90,3003,20.1,80,1
19.1,dodge aspen,6,225.0,90,3381,18.7,80,1
34.3,audi 4000,4,97.0,78,2188,15.8,80,2
29.8,toyota corona liftback,4,134.0,90,2711,15.5,80,3
31.3,mazda 626,4,120.0,75,2542,17.5,80,3
37.0,datsun 510 hatchback,4,119.0,92,2434,15.0,80,3
32.2,toyota corolla,4,108.0,75,2265,15.2,80,3
46.6,mazda glc,4,86.0,65,2110,17.9,80,3
27.9,dodge colt,4,156.0,105,2800,14.4,80,1
40.8,datsun 210,4,85.0,65,2110,19.2,80,3
44.3,vw rabbit c (diesel),4,90.0,48,2085,21.7,80,2
43.4,vw dasher (diesel),4,90.0,48,2335,23.7,80,2
36.4,audi 5000s (diesel),5,121.0,67,2950,19.9,80,2
30.0,mercedes-benz 240d,4,146.0,67,3250,21.8,80,2
44.6,honda civic 1500 gl,4,91.0,67,1850,13.8,80,3
40.9,renault lecar deluxe,4,85.0,,1835,17.3,80,2
33.8,subaru dl,4,97.0,67,2145,18.0,80,3
29.8,vokswagen rabbit,4,89.0,62,1845,15.3,80,2
32.7,datsun 280-zx,6,168.0,132,2910,11.4,80,3
23.7,mazda rx-7 gs,3,70.0,100,2420,12.5,80,3
35.0,triumph tr7 coupe,4,122.0,88,2500,15.1,80,2
23.6,ford mustang cobra,4,140.0,,2905,14.3,80,1
32.4,honda accord,4,107.0,72,2290,17.0,80,3
27.2,plymouth reliant,4,135.0,84,2490,15.7,81,1
26.6,buick skylark,4,151.0,84,2635,16.4,81,1
25.8,dodge aries wagon (sw),4,156.0,92,2620,14.4,81,1
23.5,chevrolet citation,6,173.0,110,2725,12.6,81,1
30.0,plymouth reliant,4,135.0,84,2385,12.9,81,1
39.1,toyota starlet,4,79.0,58,1755,16.9,81,3
39.0,plymouth champ,4,86.0,64,1875,16.4,81,1
35.1,honda civic 1300,4,81.0,60,1760,16.1,81,3
32.3,subaru,4,97.0,67,2065,17.8,81,3
37.0,datsun 210 mpg,4,85.0,65,1975,19.4,81,3
37.7,toyota tercel,4,89.0,62,2050,17.3,81,3
34.1,mazda glc 4,4,91.0,68,1985,16.0,81,3
34.7,plymouth horizon 4,4,105.0,63,2215,14.9,81,1
34.4,ford escort 4w,4,98.0,65,2045,16.2,81,1
29.9,ford escort 2h,4,98.0,65,2380,20.7,81,1
33.0,volkswagen jetta,4,105.0,74,2190,14.2,81,2
34.5,renault 18i,4,100.0,,2320,15.8,81,2
33.7,honda prelude,4,107.0,75,2210,14.4,81,3
32.4,toyota corolla,4,108.0,75,2350,16.8,81,3
32.9,datsun 200sx,4,119.0,100,2615,14.8,81,3
31.6,mazda 626,4,120.0,74,2635,18.3,81,3
28.1,peugeot 505s turbo diesel,4,141.0,80,3230,20.4,81,2
30.7,volvo diesel,6,145.0,76,3160,19.6,81,2
25.4,toyota cressida,6,168.0,116,2900,12.6,81,3
24.2,datsun 810 maxima,6,146.0,120,2930,13.8,81,3
22.4,buick century,6,231.0,110,3415,15.8,81,1
26.6,oldsmobile cutlass ls,8,350.0,105,3725,19.0,81,1
20.2,ford granada gl,6,200.0,88,3060,17.1,81,1
17.6,chrysler lebaron salon,6,225.0,85,3465,16.6,81,1
28.0,chevrolet cavalier,4,112.0,88,2605,19.6,82,1
27.0,chevrolet cavalier wagon,4,112.0,88,2640,18.6,82,1
34.0,chevrolet cavalier 2-door,4,112.0,88,2395,18.0,82,1
31.0,pontiac j2000 se hatchback,4,112.0,85,2575,16.2,82,1
29.0,dodge aries se,4,135.0,84,2525,16.0,82,1
27.0,pontiac phoenix,4,151.0,90,2735,18.0,82,1
24.0,ford fairmont futura,4,140.0,92,2865,16.4,82,1
23.0,amc concord dl,4,151.0,,3035,20.5,82,1
36.0,volkswagen rabbit l,4,105.0,74,1980,15.3,82,2
37.0,mazda glc custom l,4,91.0,68,2025,18.2,82,3
31.0,mazda glc custom,4,91.0,68,1970,17.6,82,3
38.0,plymouth horizon miser,4,105.0,63,2125,14.7,82,1
36.0,mercury lynx l,4,98.0,70,2125,17.3,82,1
36.0,nissan stanza xe,4,120.0,88,2160,14.5,82,3
36.0,honda accord,4,107.0,75,2205,14.5,82,3
34.0,toyota corolla,4,108.0,70,2245,16.9,82,3
38.0,honda civic,4,91.0,67,1965,15.0,82,3
32.0,honda civic (auto),4,91.0,67,1965,15.7,82,3
38.0,datsun 310 gx,4,91.0,67,1995,16.2,82,3
25.0,buick century limited,6,181.0,110,2945,16.4,82,1
38.0,oldsmobile cutlass ciera (diesel),6,262.0,85,3015,17.0,82,1
26.0,chrysler lebaron medallion,4,156.0,92,2585,14.5,82,1
22.0,ford granada l,6,232.0,112,2835,14.7,82,1
32.0,toyota celica gt,4,144.0,96,2665,13.9,82,3
36.0,dodge charger 2.2,4,135.0,84,2370,13.0,82,1
27.0,chevrolet camaro,4,151.0,90,2950,17.3,82,1
27.0,ford mustang gl,4,140.0,86,2790,15.6,82,1
44.0,vw pickup,4,97.0,52,2130,24.6,82,2
32.0,dodge rampage,4,135.0,84,2295,11.6,82,1
28.0,ford ranger,4,120.0,79,2625,18.6,82,1
31.0,chevy s-10,4,119.0,82,2720,19.4,82,1
